ERROR || Попытались загрузить файл неверного формата (06:42:28 - 22.12.2021)
ERROR || Попытались загрузить файл неверного формата (06:42:55 - 22.12.2021)
 INFO || Загржено из файла D:\2 курс\Vokzals.txt (06:43:08 - 22.12.2021)
 INFO || Перешли на автовокзал Ленинградский (06:43:08 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:10 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:10 - 22.12.2021)
 INFO || Перешли на автовокзал Московский (06:43:11 - 22.12.2021)
 INFO || Перешли на автовокзал Московский (06:43:11 - 22.12.2021)
 INFO || Перешли на автовокзал Ленинградский (06:43:12 - 22.12.2021)
 INFO || Перешли на автовокзал Ленинградский (06:43:12 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:12 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:12 - 22.12.2021)
 INFO || Перешли на автовокзал Московский (06:43:13 - 22.12.2021)
 INFO || Перешли на автовокзал Московский (06:43:13 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:14 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:43:14 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-16711936;-65536;true;true;true;5;2 (06:43:22 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-58349;-6854401;true;true;true;3;3 (06:43:34 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-16711936;-60471;true;true;true;5;2 (06:43:49 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-58349 (06:43:57 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-256 (06:44:00 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-60471 (06:44:05 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-256 (06:44:08 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-60471 (06:44:13 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-12779526 (06:44:17 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-58349 (06:44:22 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-60471 (06:44:29 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-14871041 (06:44:36 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-12779526 (06:44:40 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-256 (06:44:43 - 22.12.2021)
 WARN || Попытались поставить автобус в переполненный автовокзал (06:44:49 - 22.12.2021)
 WARN || Попытались положить в коллекцию несуществующий автобус (неверный индекс) (06:44:53 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-58349 в LinkedList (06:45:03 - 22.12.2021)
 INFO || Забрали автобус 100;100.0;-58349 из LinkedList (06:45:05 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-16711936;-60471;true;true;true;5;2 в LinkedList (06:45:14 - 22.12.2021)
 INFO || Забрали автобус 100;100.0;-16711936;-60471;true;true;true;5;2 из LinkedList (06:45:16 - 22.12.2021)
 INFO || Сохранено в файл D:\2 курс\BusStationOverflow (06:46:02 - 22.12.2021)
 INFO || Добавили автовокзал Хабаровский (06:46:15 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:46:15 - 22.12.2021)
 INFO || Перешли на автовокзал Ульяновский (06:46:15 - 22.12.2021)
 INFO || Перешли на автовокзал Хабаровский (06:46:17 - 22.12.2021)
 INFO || Перешли на автовокзал Хабаровский (06:46:17 - 22.12.2021)
 INFO || Добавили автобус 100;100.0;-14871041;-14871041;true;true;true;4;3 (06:46:29 - 22.12.2021)
 INFO || Удалили автовокзал Хабаровский (06:46:35 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:46:35 - 22.12.2021)
 INFO || Перешли на автовокзал Ленинградский (06:46:35 - 22.12.2021)
 INFO || Сохранили автовокзал Ленинградский в файл C:\Users\User\Documents\LenBS (06:46:56 - 22.12.2021)
 INFO || Загрузили автовокзал Ленинградский из файла C:\Users\User\Documents\LenBS.txt (06:47:03 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:47:04 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:47:04 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:47:04 - 22.12.2021)
 INFO || Перешли на автовокзал null (06:47:04 - 22.12.2021)
 INFO || Перешли на автовокзал Ленинградский (06:47:04 - 22.12.2021)
